"","GEOID","COLLEGES","DODSITE","BANKS","FIRESTATION","FORTUNE500","STATEGOV","NURSING","PRISON","PUBSCHOOLS","RUNWAYS"
"1","08014030200",0,0,1,0,0,0,0,0,2,0
"2","08035014504",0,0,3,1,0,0,2,0,4,0
"3","08101000904",0,0,0,1,0,0,2,0,3,0
"4","08101000905",0,0,1,0,0,0,6,0,0,0
"5","08101001200",0,0,0,0,0,0,0,0,1,0
"6","08101001800",0,0,0,0,0,0,0,0,1,0
"7","08101001900",0,0,0,1,0,0,1,0,1,0
"8","08101002000",0,0,0,0,0,0,1,0,1,0
"9","08101002100",0,0,0,1,0,0,0,0,0,0
"10","08101002200",0,0,0,0,0,0,1,0,0,0
"11","08013013004",0,0,0,1,0,0,0,0,1,0
"12","08013013005",0,0,2,1,0,0,0,0,1,0
"13","08013013006",0,0,0,0,0,0,1,0,2,0
"14","08013013205",0,0,2,1,0,0,0,0,3,0
"15","08013013207",0,0,0,1,0,0,1,0,1,0
"16","08031003701",0,0,0,0,0,0,1,0,1,0
"17","08031003702",0,0,0,0,0,0,0,0,0,0
"18","08031003703",0,0,0,1,0,0,1,0,1,0
"19","08031003800",0,0,23,0,0,0,2,0,1,0
"20","08031003901",0,0,3,0,0,0,0,0,1,0
"21","08031004102",0,0,2,0,0,0,1,0,1,0
"22","08031004103",0,0,0,0,0,0,0,0,1,0
"23","08031004104",0,0,0,0,0,0,0,0,3,0
"24","08005082300",0,0,0,0,0,0,0,0,0,0
"25","08005080800",0,0,1,0,0,0,0,0,1,0
"26","08005006502",0,0,0,0,0,0,1,0,1,0
"27","08005082600",0,1,0,0,0,0,0,0,1,0
"28","08005005628",0,0,0,0,0,0,4,0,0,0
"29","08005006711",0,0,1,1,0,0,4,0,1,0
"30","08031004601",0,0,0,0,0,0,0,0,2,0
"31","08031003402",0,0,0,1,0,0,0,0,1,0
"32","08031003602",0,0,0,1,0,0,1,0,3,0
"33","08101002300",0,0,0,0,0,0,1,0,2,0
"34","08101002500",0,0,0,0,0,0,1,0,1,0
"35","08101002600",0,0,0,0,0,0,4,0,1,0
"36","08101002700",0,0,0,1,0,0,0,0,3,0
"37","08101002801",0,0,2,0,0,0,3,0,2,0
"38","08013013302",0,0,7,0,0,0,1,0,1,0
"39","08013013305",0,0,0,0,0,0,0,0,1,0
"40","08013013307",0,0,2,0,0,0,2,0,2,0
"41","08013013308",0,0,0,0,0,0,6,0,1,0
"42","08013013401",0,0,2,0,0,0,0,0,1,0
"43","08013013208",0,0,1,1,0,0,2,0,1,0
"44","08013013210",1,0,3,1,0,0,0,0,8,0
"45","08013013211",0,0,4,1,0,0,0,0,0,0
"46","08017960600",0,0,2,2,0,0,1,0,4,0
"47","08101001400",0,0,0,0,0,0,1,0,0,0
"48","08101002808",0,0,0,0,0,0,0,0,0,0
"49","08101003004",1,0,2,0,0,0,1,0,0,0
"50","08101003104",0,0,1,1,0,0,0,0,3,0
"51","08101002400",0,0,0,0,0,0,1,0,0,0
"52","08101002807",0,0,3,0,0,0,0,0,0,0
"53","08013013402",0,0,0,0,0,0,1,0,1,0
"54","08029964600",0,0,2,1,0,0,1,0,3,1
"55","08029964700",0,0,0,0,0,0,1,0,0,0
"56","08029965200",0,0,2,1,0,0,0,0,3,0
"57","08029964900",0,0,2,0,0,0,4,0,5,0
"58","08029965000",0,0,3,2,0,0,0,0,3,1
"59","08029965100",0,0,5,1,0,0,1,1,4,0
"60","08029964800",0,0,0,0,0,0,0,1,0,3
"61","08013013701",0,0,0,11,0,0,0,0,2,0
"62","08013012103",0,0,0,0,0,0,1,0,1,0
"63","08013013702",0,0,1,12,0,0,0,0,2,0
"64","08013012710",0,0,4,2,0,0,1,0,3,0
"65","08013012707",0,0,0,0,0,0,0,1,0,1
"66","08013012605",1,0,2,1,0,0,0,0,0,0
"67","08013012201",0,0,0,0,0,0,0,1,1,0
"68","08013013201",0,0,2,0,0,0,1,0,0,0
"69","08013013601",0,0,1,3,0,0,0,0,2,0
"70","08013012800",0,0,2,1,0,0,0,0,3,0
"71","08013060700",0,0,4,0,0,0,1,0,2,0
"72","08013013602",0,0,0,2,0,0,0,0,0,0
"73","08013013306",1,0,5,0,0,0,3,0,1,0
"74","08043978100",0,1,0,1,0,0,0,0,1,0
"75","08043978200",0,0,2,1,0,0,1,0,3,2
"76","08043978500",0,0,0,1,0,0,7,0,1,0
"77","08043978600",0,0,7,0,0,0,0,0,4,0
"78","08043979000",0,0,0,6,0,0,0,0,2,0
"79","08043978300",0,0,2,0,0,0,0,1,2,0
"80","08043979200",1,0,0,0,0,0,0,0,0,0
"81","08043978400",0,0,2,1,0,0,0,1,0,0
"82","08014031200",0,0,1,0,0,0,0,0,0,0
"83","08043980100",0,0,0,0,0,0,0,1,0,0
"84","08043979100",0,0,0,1,0,0,2,0,1,0
"85","08043978800",0,0,0,1,0,0,0,0,1,0
"86","08043980300",0,0,0,0,0,0,0,7,0,0
"87","08031004801",0,0,2,0,0,0,0,0,1,0
"88","08031001902",2,0,1,1,0,0,0,0,0,0
"89","08031005001",0,0,4,1,0,0,2,0,3,0
"90","08041004502",0,0,0,1,0,0,0,0,1,0
"91","08041004902",0,0,0,0,0,0,1,0,1,0
"92","08041005800",0,0,1,0,0,0,1,0,0,0
"93","08041007500",0,0,0,0,0,0,1,0,3,0
"94","08041004503",0,0,1,1,0,0,0,0,2,0
"95","08041001500",0,0,0,0,0,0,3,0,2,0
"96","08041002800",0,0,0,0,0,1,1,0,2,0
"97","08041005700",0,0,0,0,0,0,0,0,2,0
"98","08041002502",0,0,0,1,0,0,1,1,3,0
"99","08041003303",0,0,3,1,0,0,5,0,0,0
"100","08041005501",0,0,0,0,0,0,0,0,0,0
"101","08041007400",0,0,2,1,0,0,0,0,5,0
"102","08041007000",0,0,3,1,0,0,1,0,2,0
"103","08041007800",1,0,1,0,0,0,2,0,0,0
"104","08005007107",0,0,3,0,0,0,0,0,3,0
"105","08005007103",0,0,0,0,0,0,0,0,0,0
"106","08005080500",0,0,0,0,0,0,0,0,0,0
"107","08005083900",0,0,0,0,0,0,2,0,0,0
"108","08041005000",0,0,0,0,0,0,4,0,1,0
"109","08041007300",0,0,3,1,0,0,1,0,2,0
"110","08041000101",0,0,1,0,0,0,7,0,1,0
"111","08041000102",1,0,0,0,0,0,2,0,0,0
"112","08041000202",0,0,3,1,0,0,0,0,1,0
"113","08041000301",0,0,0,0,0,0,6,0,2,0
"114","08041000400",0,0,0,1,0,0,1,0,2,0
"115","08041000500",0,0,0,0,0,0,0,0,0,0
"116","08041000600",0,0,0,0,0,0,1,0,4,0
"117","08041000700",0,0,0,0,0,0,0,0,2,0
"118","08041000800",0,0,0,0,0,0,4,0,2,0
"119","08041000900",0,0,0,1,0,0,0,0,1,0
"120","08041001000",1,0,0,0,0,0,2,0,0,0
"121","08041001101",0,0,0,0,0,0,0,0,0,0
"122","08041001104",0,0,0,0,0,0,1,0,2,0
"123","08041001301",0,0,1,1,0,0,1,0,1,0
"124","08013012508",0,0,1,0,0,0,1,0,1,0
"125","08013012509",1,0,2,1,0,0,1,0,3,0
"126","08013012511",1,0,1,0,0,0,3,0,1,0
"127","08013012603",0,0,0,0,0,0,0,0,1,0
"128","08013012701",0,0,0,2,0,0,1,0,0,0
"129","08101001100",0,0,0,1,0,0,0,0,1,0
"130","08101002903",0,0,5,1,0,0,1,0,1,0
"131","08013012705",0,0,2,1,0,0,0,0,1,0
"132","08013012708",0,0,0,0,0,0,0,0,0,0
"133","08013012709",0,0,0,0,0,0,0,0,1,0
"134","08013012903",0,0,2,0,0,0,0,0,0,0
"135","08101002906",0,0,0,1,0,0,0,0,0,0
"136","08101002802",0,0,0,1,0,0,0,0,1,0
"137","08101000800",0,0,0,0,0,0,0,0,1,0
"138","08101000902",0,0,2,0,0,0,1,0,2,0
"139","08101000903",1,0,0,0,0,0,0,0,0,0
"140","08013012904",0,0,0,0,0,0,3,0,1,0
"141","08013012905",0,0,1,0,0,0,1,0,1,0
"142","08013060900",0,0,1,0,0,0,1,0,2,0
"143","08013012907",0,0,0,1,0,0,0,0,1,0
"144","08013013003",0,0,2,1,0,0,0,0,2,0
"145","08101000600",0,0,0,0,0,0,3,0,0,0
"146","08031004404",0,0,0,0,0,0,0,0,0,0
"147","08031004403",1,0,0,0,0,0,0,0,1,0
"148","08001009603",0,0,0,0,0,0,1,0,2,0
"149","08001009604",0,0,3,1,0,0,2,0,4,0
"150","08041002900",0,0,1,1,0,0,0,0,5,0
"151","08041004009",0,0,1,1,0,0,0,0,0,0
"152","08031004304",0,0,1,1,0,0,3,0,1,0
"153","08005005627",0,0,0,0,0,0,3,0,1,0
"154","08005081300",0,0,1,0,0,0,0,0,2,0
"155","08005084000",0,0,0,0,0,0,1,0,0,0
"156","08041004100",0,0,0,0,0,0,0,0,3,0
"157","08041004508",0,0,1,1,0,0,0,0,2,0
"158","08041004701",1,0,0,1,0,0,1,0,0,0
"159","08041004702",0,0,0,0,0,0,0,0,0,0
"160","08041001302",0,0,0,0,0,0,0,0,0,0
"161","08001009608",0,0,1,0,0,0,0,0,1,0
"162","08001009607",0,0,0,0,0,0,1,0,3,0
"163","08014030500",0,0,2,1,0,0,0,0,1,0
"164","08014031000",0,0,2,0,0,0,0,0,2,0
"165","08041005201",0,0,0,0,0,0,2,0,0,0
"166","08041001600",1,0,3,0,0,0,1,0,1,0
"167","08041001700",0,0,0,0,0,0,2,0,1,0
"168","08005081200",0,0,0,0,0,0,0,0,0,0
"169","08005007101",0,0,2,2,0,0,1,0,5,0
"170","08005007500",0,0,0,0,0,0,1,0,1,0
"171","08041003906",2,0,3,0,0,0,1,0,5,0
"172","08041004703",0,0,1,0,0,0,0,0,2,0
"173","08041004800",1,0,4,0,0,0,0,0,1,0
"174","08005005551",0,0,0,1,0,0,0,0,1,0
"175","08005005630",1,0,1,1,0,0,6,0,0,0
"176","08005005552",0,0,0,0,0,0,0,0,5,0
"177","08005005553",0,0,1,1,0,0,0,0,0,0
"178","08005005611",0,0,1,0,0,0,8,0,2,0
"179","08005005612",0,0,0,1,0,0,1,0,2,0
"180","08005005614",0,0,2,0,0,0,3,0,1,0
"181","08005005619",0,0,1,0,0,0,2,0,2,0
"182","08005005620",0,0,3,0,0,0,0,0,0,0
"183","08001009553",0,0,0,0,0,0,0,0,3,0
"184","08005005621",0,0,0,0,0,0,3,0,1,0
"185","08041001800",0,0,0,0,0,0,0,0,1,0
"186","08005005622",0,0,0,0,0,0,0,0,0,0
"187","08005005624",0,0,0,0,0,0,2,0,2,0
"188","08005005625",0,0,0,0,0,0,8,0,1,0
"189","08005005626",0,0,4,0,0,0,2,0,2,0
"190","08005005629",0,0,1,0,0,0,0,0,0,0
"191","08005084700",0,0,1,1,0,0,1,0,1,0
"192","08005083400",0,0,0,0,0,0,1,0,1,0
"193","08005005631",0,0,1,0,0,0,1,0,0,0
"194","08005007703",0,0,0,0,0,0,2,0,1,0
"195","08079973600",0,0,1,1,0,0,0,0,1,1
"196","08041001900",0,0,1,0,0,0,2,0,1,0
"197","08041002000",0,0,4,0,0,0,0,0,1,0
"198","08013013202",0,0,0,0,0,0,0,0,0,0
"199","08013012401",1,0,1,1,0,0,1,0,2,0
"200","08013012510",0,0,0,1,0,0,0,0,1,0
"201","08085966400",0,0,5,1,0,0,5,0,5,0
"202","08069000201",0,0,1,0,0,0,0,0,1,0
"203","08099000200",0,0,5,1,0,0,1,1,0,0
"204","08099000300",1,0,1,1,0,0,0,0,5,0
"205","08105976700",0,0,4,1,0,0,3,0,6,0
"206","08071000200",1,0,0,0,0,0,0,0,2,0
"207","08071000500",0,0,3,0,0,0,1,1,0,0
"208","08071000300",0,0,1,8,0,0,0,0,2,0
"209","08071000400",0,0,2,1,0,0,1,0,2,0
"210","08071000100",0,0,0,4,0,0,0,0,2,0
"211","08069000503",1,0,0,0,0,0,0,0,1,0
"212","08069001308",0,0,0,0,0,0,2,0,0,0
"213","08069001709",0,0,7,2,0,0,1,0,3,2
"214","08069002010",0,0,0,0,0,0,0,0,0,0
"215","08069002402",0,0,0,10,0,0,0,0,1,0
"216","08069002502",0,0,2,1,0,0,1,0,3,0
"217","08069001808",0,0,0,0,0,0,1,0,2,0
"218","08069002801",0,0,4,1,0,0,2,0,0,0
"219","08069002503",0,0,0,1,0,0,0,0,0,0
"220","08069002802",0,0,1,1,0,0,1,0,4,0
"221","08014030700",0,0,0,0,0,0,1,0,0,0
"222","08014030400",0,0,0,0,0,0,1,0,1,0
"223","08031003202",0,0,0,0,0,0,2,0,0,0
"224","08031003203",0,0,1,0,0,0,0,0,0,0
"225","08031003300",0,0,1,0,0,0,0,0,1,0
"226","08031003401",0,0,0,0,0,0,0,0,1,0
"227","08027970100",0,0,1,7,0,0,1,1,3,0
"228","08014030100",0,0,1,0,0,0,0,0,1,0
"229","08014030000",0,0,1,1,0,0,0,0,1,0
"230","08014030300",0,0,4,0,0,0,1,0,0,0
"231","08014980200",0,0,0,0,0,0,0,0,0,0
"232","08115968300",0,0,2,3,0,0,2,0,5,1
"233","08069000600",1,0,0,0,0,0,0,0,0,0
"234","08069000700",0,0,0,1,0,0,0,0,2,0
"235","08069000901",0,0,3,1,0,0,2,0,3,0
"236","08069000902",0,0,0,0,0,0,0,0,2,0
"237","08069001004",0,0,0,0,0,0,1,0,1,0
"238","08069001007",1,0,8,0,0,0,0,0,0,0
"239","08069001008",0,0,4,0,0,0,0,0,2,0
"240","08069001903",0,0,0,8,0,0,0,0,0,0
"241","08069002600",0,0,0,1,0,0,0,0,0,0
"242","08069002700",0,0,3,1,0,0,2,0,4,0
"243","08069001902",0,0,2,0,0,0,2,0,1,0
"244","08069001003",0,0,3,0,0,0,0,0,1,0
"245","08069000300",0,0,0,0,0,0,0,0,3,0
"246","08069001301",0,0,0,2,0,0,0,0,2,0
